architecture,image_mode,image_size,model_path,model_sha256,seed
convnext_tiny_scratch,rgb_triplet,256,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed4099/malware_family_convnext_tiny_scratch_rgb_triplet_256_seed4099.keras,e0114fc7ac3df355caf9a41b5104a8b5eaa17f8d3d1f282b92f7ab52d9612db4,4099
compact_cnn,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_512_seed1337/malware_family_compact_cnn_gray_512_seed1337.keras,b9a5717c5c92181153fc4f9ca75b65241fffa1fa2c0368175e09d044f76372de,1337
compact_cnn,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_512_seed2027/malware_family_compact_cnn_gray_512_seed2027.keras,66df026d10d17edc5ce1c98ef462e9ad433a272b1a307f689ed0bb030b0c3bc4,2027
compact_cnn,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_compact_cnn_gray_512_seed4099/malware_family_compact_cnn_gray_512_seed4099.keras,d6e5672994f0540f8a7c45cec10bc127475c0d4c0a40188ce0e9adbc37d0c9af,4099
dense_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_512_seed1337/malware_family_dense_small_gray_512_seed1337.keras,9b7ae90f1930e548fe1d221cb462308724a793d35d121605f2a56da0971ffc8a,1337
dense_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_512_seed2027/malware_family_dense_small_gray_512_seed2027.keras,e6f9dfe10c916ced289908e47b5e15155f674ff55ee9764faa33807b990be825,2027
dense_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_dense_small_gray_512_seed4099/malware_family_dense_small_gray_512_seed4099.keras,72416aee48b71e0832b11a8ebc26014f89ed822ba5fa01d77c2681c4e7d839b0,4099
residual_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_512_seed1337/malware_family_residual_small_gray_512_seed1337.keras,605ea697e995630a1d4c220bca73910367db56fdf7925bc5dc6f4babbfc48b25,1337
residual_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_512_seed2027/malware_family_residual_small_gray_512_seed2027.keras,d086179564eb511ee3324e135f015f6efe2b1627b58c352e283f6449d4644605,2027
residual_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_residual_small_gray_512_seed4099/malware_family_residual_small_gray_512_seed4099.keras,6b877705201a8f211c1b025aae12631c4a02ed8e1f4b945fd1190cc55374925d,4099
inception_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_gray_512_seed1337/malware_family_inception_small_gray_512_seed1337.keras,3a0ccfd3192aca9aed9d7c5fb7089e3f8845fcc6dcac4c3e5a20a8726def9527,1337
inception_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_gray_512_seed2027/malware_family_inception_small_gray_512_seed2027.keras,031c0fddb51d4b571175784d59afe8990ee25bf50d8efa2c70198657e95b718d,2027
inception_small,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_inception_small_gray_512_seed4099/malware_family_inception_small_gray_512_seed4099.keras,7cb193461fd3e626c8f40953650ccced211a14e646dbd00b7f27c83edb6c8af9,4099
convnext_tiny_scratch,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_gray_512_seed1337/malware_family_convnext_tiny_scratch_gray_512_seed1337.keras,76bf550f7e7f946a9775f4c9832a112e626b78452acaf9c4032115a5485cbe06,1337
convnext_tiny_scratch,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_gray_512_seed2027/malware_family_convnext_tiny_scratch_gray_512_seed2027.keras,18392d66604649bf0cfb9c731ded7eacf4d616305fd181081b1b3dd397994aa5,2027
convnext_tiny_scratch,gray,512,/home/phil/vibex_secure_dataset/sources/malwarebazaar_planb/model_sweeps/planb_stagea_family_native_20260604T172000Z/models/malware_family_convnext_tiny_scratch_gray_512_seed4099/malware_family_convnext_tiny_scratch_gray_512_seed4099.keras,124b403b0ebf67e24bf12304ee6cb55347365db9b1d23fb05d22e88e90d2e457,4099
